#     gal_num          x_image          y_image             ra              dec            g1_nopsf         g2_nopsf         g1_meas          g2_meas            fwhm       final_sigmaSize  nopsf_sigmaSize       nfw_g1           nfw_g2           nfw_mu          redshift           flux          stamp_sum         noisevar     
              87   3.83000000e+03   1.86800000e+03   2.89465936e+02  -3.31204374e+01   3.81499207e-01  -8.71145715e-02   2.52409663e-01  -5.70856501e-02   5.28489461e-01   1.44583321e+00   1.07497096e+00  -1.02931116e-01   3.03148739e-01   3.12907242e+00   1.22205523e+00   1.86292282e+03   1.86292285e+03   0.00000000e+00
              88   1.91100000e+03   4.41000000e+02   2.89596817e+02  -3.32023838e+01   0.00000000e+00   0.00000000e+00  -3.55546995e-02  -1.45720456e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   2.27289231e-02  -9.60359123e-02   1.20645698e+00   6.87070088e-01   4.51096011e+03   4.51095996e+03   0.00000000e+00
              89   5.42600000e+03   2.72100000e+03   2.89357175e+02  -3.30712830e+01   0.00000000e+00   0.00000000e+00  -4.24853461e-01  -1.21470666e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -9.97210195e-02  -5.06151715e-02   1.24631989e+00   8.79274628e-01   9.20022104e+03   9.20022168e+03   0.00000000e+00
              90   5.56600000e+03   4.22500000e+03   2.89348021e+02  -3.29851648e+01   0.00000000e+00   0.00000000e+00  -1.19671567e-01  -9.63752410e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -9.12228265e-03  -8.64908314e-02   1.15208995e+00   1.07846891e+00   6.81841722e+02   6.81841675e+02   0.00000000e+00
              91   3.43500000e+03   4.02800000e+03   2.89493386e+02  -3.29968991e+01   0.00000000e+00   0.00000000e+00   7.96942350e-03  -7.46592587e-03  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   1.24716580e-01  -1.34602064e-02   1.31328866e+00   7.90456495e-01   9.30289138e+02   9.30289124e+02   0.00000000e+00
              92   5.62500000e+03   4.62000000e+02   2.89342852e+02  -3.32004652e+01   3.79897464e-01  -1.41724039e-01   2.85362646e-01  -1.07005838e-01   6.19326637e-01   1.74928498e+00   1.37812638e+00  -1.97517501e-02   7.27767368e-02   1.13299984e+00   5.89151460e-01   6.49544490e+03   6.49544531e+03   0.00000000e+00
              93   2.67300000e+03   4.19700000e+03   2.89545399e+02  -3.29873628e+01  -1.54773399e-01   3.08343740e-01  -1.00758089e-01   1.82211021e-01   5.78896806e-01   1.33878529e+00   9.43693936e-01   9.82927042e-02   7.50442247e-02   1.28206454e+00   1.23125784e+00   7.41903399e+02   7.41903381e+02   0.00000000e+00
              94   1.35000000e+03   1.22900000e+03   2.89635273e+02  -3.31573252e+01  -2.39055405e-01  -2.47075227e-01  -1.30959061e-01  -1.39772421e-01   5.01652954e-01   1.24734879e+00   9.23452616e-01  -6.23392323e-02  -8.50371319e-02   1.22615559e+00   7.82517321e-01   7.77973907e+02   7.77973938e+02   0.00000000e+00
              96   6.70000000e+01   8.60000000e+01   2.89722929e+02  -3.32228512e+01   5.92887701e-02   4.00843375e-01   3.97025540e-02   2.69725619e-01   5.82074663e-01   1.48187375e+00   1.11205053e+00  -2.68755341e-02  -6.28113202e-02   1.10010850e+00   1.19543067e+00   3.21100971e+03   3.21100977e+03   0.00000000e+00
              98   3.97900000e+03   4.36800000e+03   2.89456365e+02  -3.29773471e+01  -2.27918291e-01  -1.84364808e-01  -1.41309686e-01  -1.15141689e-01   5.42660988e-01   1.34706461e+00   1.05388498e+00   9.91271137e-02  -6.49572936e-02   1.25668462e+00   1.40516723e+00   9.70831058e+02   9.70831055e+02   0.00000000e+00
              99   5.24300000e+03   2.11300000e+03   2.89369485e+02  -3.31060868e+01  -1.11389963e-01  -1.40656430e-01  -3.07892478e-02  -6.49412358e-02   4.93634706e-01   1.09279346e+00   6.69432759e-01  -1.05477115e-01   1.19138473e-02   1.24993130e+00   5.74204491e-01   6.48206933e+02   6.48206909e+02   0.00000000e+00
             100   8.35000000e+02   8.22000000e+02   2.89670458e+02  -3.31806850e+01  -2.91483455e-01   2.10495241e-01  -2.16317119e-01   1.50707428e-01   5.88004057e-01   1.66874862e+00   1.24703896e+00  -4.66607839e-02  -7.78161832e-02   1.16371490e+00   1.07928454e+00   1.73776798e+03   1.73776794e+03   0.00000000e+00
             102   5.37800000e+03   8.72000000e+02   2.89359874e+02  -3.31770575e+01   0.00000000e+00   0.00000000e+00   1.32841675e-01   1.36353104e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -3.78069405e-02   8.76397101e-02   1.19028452e+00   7.50241488e-01   5.70279795e+02   5.70279785e+02   0.00000000e+00
             104   6.34200000e+03   1.46500000e+03   2.89294182e+02  -3.31428953e+01   8.04484627e-02  -3.93069557e-02   6.46777802e-02  -3.15651838e-02   8.16762312e-01   1.91567552e+00   1.68533790e+00  -7.65177598e-02   4.07890552e-02   1.14844674e+00   1.28459970e+00   6.60565063e+03   6.60565039e+03   0.00000000e+00
             105   7.64000000e+02   3.20600000e+03   2.89675516e+02  -3.30442539e+01   7.75700505e-02  -4.05587658e-01   4.45072304e-02  -2.33479543e-01   5.00720026e-01   1.29507971e+00   9.61145639e-01  -6.70083031e-02   5.91165591e-02   1.16507785e+00   8.50869535e-01   6.65360687e+02   6.65360657e+02   0.00000000e+00
             106   1.88700000e+03   4.16000000e+02   2.89598478e+02  -3.32037783e+01   0.00000000e+00   0.00000000e+00   1.22200936e-02   5.80335641e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   2.06837555e-02  -8.87298201e-02   1.18727635e+00   5.79694250e-01   1.02012351e+03   1.02012341e+03   0.00000000e+00
             108   5.36700000e+03   2.76000000e+03   2.89361218e+02  -3.30690427e+01  -6.50608228e-02   1.29806841e-01  -4.83448979e-02   9.85745920e-02   6.96133195e-01   1.75876272e+00   1.45983315e+00  -9.17129615e-02  -5.23976315e-02   1.23429347e+00   6.85239178e-01   1.43911590e+04   1.43911602e+04   0.00000000e+00
             109   1.78700000e+03   1.76800000e+03   2.89605503e+02  -3.31264525e+01   0.00000000e+00   0.00000000e+00   7.88069646e-02   1.07826925e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -1.18912356e-01  -7.83694323e-02   1.38971973e+00   9.02916326e-01   8.93249852e+02   8.93249878e+02   0.00000000e+00
             113   4.24200000e+03   3.57600000e+03   2.89438184e+02  -3.30225887e+01   0.00000000e+00   0.00000000e+00   4.20520557e-02   8.82624320e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   5.62621921e-02  -1.36627880e-01   1.40436763e+00   1.09242331e+00   2.20497209e+03   2.20497168e+03   0.00000000e+00
             114   4.11700000e+03   6.37000000e+02   2.89446052e+02  -3.31907942e+01   1.47160024e-01  -3.97486162e-02   8.03328083e-02  -2.32270938e-02   5.57608179e-01   1.33011472e+00   8.90213847e-01   8.25887084e-02   1.09086673e-01   1.35020504e+00   1.04847556e+00   6.70248941e+02   6.70248901e+02   0.00000000e+00
             116   3.92400000e+03   3.33600000e+03   2.89459876e+02  -3.30363950e+01  -5.13946808e-03  -1.34703904e-01   1.67793504e-02  -7.06957012e-02   5.36358190e-01   1.19284070e+00   7.82185614e-01   8.92708848e-02  -1.31104154e-01   1.51946032e+00   7.02107092e-01   2.25236980e+03   2.25237012e+03   0.00000000e+00
             117   4.97000000e+03   4.28700000e+03   2.89388699e+02  -3.29817717e+01   2.54901968e-02   2.41067135e-01   3.37504198e-02   2.11322427e-01   6.42217659e-01   2.62821460e+00   2.14614439e+00   2.28737031e-02  -9.61578288e-02   1.18946668e+00   1.12320429e+00   4.91607781e+04   4.91607734e+04   0.00000000e+00
             119   1.93400000e+03   3.37600000e+03   2.89595712e+02  -3.30344356e+01  -1.15074338e-01   1.96497126e-01  -7.62379343e-02   1.29375093e-01   5.91071275e-01   1.41041613e+00   1.15078032e+00  -2.75887876e-02   1.35286650e-01   1.34915674e+00   1.19860523e+00   1.15499830e+03   1.15499829e+03   0.00000000e+00
