wavelength,qe,qe_err
947,0.065015,0.00096
948,0.06396,0.0009400000000000001
949,0.062905,0.00092
950,0.06185,0.0009
951,0.060795,0.00088
952,0.05974,0.00086
953,0.058685,0.00084
954,0.05763,0.00082
955,0.056575,0.0007999999999999999
956,0.05552,0.00078
957,0.054465,0.00076
958,0.05341,0.00074
959,0.052355,0.0007199999999999999
960,0.0513,0.0007
961,0.050824999999999995,0.000695
962,0.05035,0.00069
963,0.049874999999999996,0.000685
964,0.0494,0.0006799999999999999
965,0.048924999999999996,0.000675
966,0.04845,0.00067
967,0.047975,0.000665
968,0.0475,0.00066
969,0.047025,0.000655
970,0.046549999999999994,0.00065
971,0.046075,0.000645
972,0.0456,0.0006399999999999999
973,0.045125,0.0006349999999999999
974,0.044649999999999995,0.0006299999999999999
975,0.044175,0.0006249999999999999
976,0.043699999999999996,0.00062
977,0.043225,0.000615
978,0.042749999999999996,0.00061
979,0.04227499999999999,0.000605
980,0.0418,0.0006
981,0.041229999999999996,0.0005899999999999999
982,0.040659999999999995,0.00058
983,0.04009,0.00057
984,0.03952,0.00056
985,0.03895,0.0005499999999999999
986,0.03838,0.00054
987,0.037809999999999996,0.00053
988,0.037239999999999995,0.00052
989,0.036669999999999994,0.00051
990,0.0361,0.0005
991,0.03553,0.00049
992,0.03496,0.00048
993,0.03439,0.00047000000000000004
994,0.03382,0.00046
995,0.03325,0.00045
996,0.03268,0.00044
997,0.03211,0.00043000000000000004
998,0.03154,0.00042
999,0.030969999999999998,0.00041
1000,0.0304,0.0004
1001,0.0304,0.0004
1002,0.0304,0.0004
1003,0.0304,0.0004
1004,0.0304,0.0004
1005,0.0304,0.0004
1006,0.0304,0.0004
1007,0.0304,0.0004
1008,0.0304,0.0004
1009,0.0304,0.0004
1010,0.0304,0.0004
1011,0.0304,0.0004
1012,0.0304,0.0004
1013,0.0304,0.0004
1014,0.0304,0.0004
1015,0.0304,0.0004
1016,0.0304,0.0004
1017,0.0304,0.0004
1018,0.0304,0.0004
1019,0.0304,0.0004
1020,0.0304,0.0004
1021,0.0304,0.0004
1022,0.0304,0.0004
1023,0.0304,0.0004
1024,0.0304,0.0004
1025,0.0304,0.0004
1026,0.0304,0.0004
1027,0.0304,0.0004
1028,0.0304,0.0004
1029,0.0304,0.0004
1030,0.0304,0.0004
1031,0.0304,0.0004
1032,0.0304,0.0004
1033,0.0304,0.0004
1034,0.0304,0.0004
1035,0.0304,0.0004
1036,0.0304,0.0004
1037,0.0304,0.0004
1038,0.0304,0.0004
1039,0.0304,0.0004
1040,0.0304,0.0004
1041,0.0304,0.0004
1042,0.0304,0.0004
1043,0.0304,0.0004
1044,0.0304,0.0004
1045,0.0304,0.0004
1046,0.0304,0.0004
1047,0.0304,0.0004
1048,0.0304,0.0004
1049,0.0304,0.0004
1050,0.0304,0.0004
1051,0.0304,0.0004
1052,0.0304,0.0004
1053,0.0304,0.0004
1054,0.0304,0.0004
1055,0.0304,0.0004
1056,0.0304,0.0004
1057,0.0304,0.0004
1058,0.0304,0.0004
1059,0.0304,0.0004
1060,0.0304,0.0004
1061,0.0304,0.0004
1062,0.0304,0.0004
1063,0.0304,0.0004
1064,0.0304,0.0004
1065,0.0304,0.0004
1066,0.0304,0.0004
1067,0.0304,0.0004
1068,0.0304,0.0004
1069,0.0304,0.0004
1070,0.0304,0.0004
1071,0.0304,0.0004
1072,0.0304,0.0004
1073,0.0304,0.0004
1074,0.0304,0.0004
1075,0.0304,0.0004
1076,0.0304,0.0004
1077,0.0304,0.0004
1078,0.0304,0.0004
1079,0.0304,0.0004
1080,0.0304,0.0004
1081,0.0304,0.0004
1082,0.0304,0.0004
1083,0.0304,0.0004
1084,0.0304,0.0004
1085,0.0304,0.0004
1086,0.0304,0.0004
1087,0.0304,0.0004
1088,0.0304,0.0004
1089,0.0304,0.0004
1090,0.0304,0.0004
1091,0.0304,0.0004
1092,0.0304,0.0004
1093,0.0304,0.0004
1094,0.0304,0.0004
1095,0.0304,0.0004
1096,0.0304,0.0004
1097,0.0304,0.0004
1098,0.0304,0.0004
1099,0.0304,0.0004
1100,0.0304,0.0004
