id,ra,dec,X_IMAGE,Y_IMAGE,g1_gmix,g2_gmix,T_gmix,flux_gmix,g1_MC,g2_MC,g1_Rinv,g2_Rinv,T_mcal,flux_mcal
1985.0,289.28909237979184,-33.17836622486695,6586.5059,973.0009,-99999.0,-99999.0,-99999.0,-99999.0,-0.06960213937843246,0.05432587036009631,0.005241600790835446,-0.002452015286860326,1.8626268299218878,1902.979302352585
1986.0,289.33454523342897,-33.17766366906507,5921.7783,986.2500,0.03956735369936364,0.06096225332655375,5.531733899588801,2888.9995956711646,0.010342939908800608,0.036520301721102696,-0.0020046853818465604,-0.002846438317951876,4.794917789085199,2575.781429675479
1987.0,289.3803970472095,-33.17797016176724,5251.0845,981.7151,-0.04534270687761817,0.08015964042438634,1.8079943590444358,2027.731768281649,-0.03491860826790873,0.10546275469109623,0.0025253043298352545,-0.0042589080436336415,1.7304268282718112,1968.6010630751823
1988.0,289.3992390245077,-33.17789646285161,4975.6113,983.3312,0.010128835606677919,4.186461813076907e-05,8.797219922283102,3961.0063993503104,0.0005764665812745079,-0.0001988760435997629,-0.00016638098232679843,2.153513698027526e-05,7.158304430430502,3308.54236746606
1990.0,289.7130439707662,-33.17790538217511,385.5313,980.8893,-0.002691835767585478,-0.006542892143418928,7.932582222913055,3695.4488389473336,-0.0012622155545537431,-0.003418197689389403,0.00033582317828539194,0.0003334349036148958,6.564994239851849,3139.6083783438316
1991.0,289.54476782667325,-33.178080185794144,2847.0591,980.1805,-99999.0,-99999.0,-99999.0,-99999.0,-0.0012622155545537431,-0.003418197689389403,0.00033582317828539194,0.0003334349036148958,6.564994239851849,3139.6083783438316
1992.0,289.679956165575,-33.17810848419682,869.4395,978.1525,0.11982474695272292,-0.04417093475634309,1.9532558500119213,2328.8212418810826,0.08411415853143417,-0.04619314576151991,-0.0067198396163094766,0.0022887449035948596,1.8913519021166503,2276.6334946793845
1993.0,289.37966655521143,-33.17834707377698,5261.7271,975.1626,0.001628377441123058,0.11709311121175985,3.137618277223539,2353.0998705010634,0.0012356462652471014,0.11724140786577013,-0.00014105695493815142,-0.0060355694995744774,2.9099356435363712,2226.522528357726
1994.0,289.33355413240287,-33.178361133381586,5936.1597,974.2427,-0.0011178252266167157,0.021816701593169823,4.016491380014442,2649.9568249229364,-0.0006972052946858652,0.014941209366934998,9.930335345162713e-05,-0.001009131935253082,3.6725009346146833,2470.6717860465433
1995.0,289.32980975731357,-33.1787874328836,5991.1099,966.5959,-0.14671202379841214,0.0732764049586286,11.595624362452675,4769.346411018471,-0.01951786562668113,0.022820758730448858,0.0069162933074067255,-0.0029686588975255785,8.932982500365995,3828.7965580499695
1996.0,289.6318840270003,-33.179118674233415,1572.7231,961.5897,-0.060420238243465894,-0.0837543889861059,2.226694367563715,2078.28415547567,-0.03970374394432445,-0.08475915287141085,0.0033993024623862403,0.004324070203230302,2.1356934692952207,2017.99528954232
1997.0,289.2737408230835,-33.179424247350696,6811.0000,967.0000,-99999.0,-99999.0,-99999.0,-99999.0,-0.03970374394432445,-0.08475915287141085,0.0033993024623862403,0.004324070203230302,2.1356934692952207,2017.99528954232
1998.0,289.45553152501236,-33.179161959073916,4152.0811,961.9263,-0.009645356198835235,0.02213435810073409,3.156640005521033,2143.978924443791,-0.005118447255258728,0.021038618416493546,0.0005606273198873745,-0.0010357315906048814,2.8889491318955183,2010.0039217945675
1999.0,289.6454210740228,-33.179277737060396,1374.5968,958.4012,-0.02207834893005172,-0.005275202216392747,4.070137883400141,2576.660727289613,-0.007144690606687456,-0.004691380764203673,0.001046907400890282,0.00030514028478404137,3.6987629224142182,2390.690635941293
