No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c17/18 </a>",177.69407,-28.07332,VisS,212853.00,0.71,PUN,,0.901,1,0,0,1,1,0,0
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCKESZ G286.99+32.91</a>",177.71380,-28.07400,GClstr,116919.00,0.39,UUN,,0.913,7,0,0,2,3,0,0
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 100</a>",177.68884,-28.07753,G,292206.00,0.974694,SUN,,0.914,1,0,0,1,1,0,0
56,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 19.1</a>",177.70501,-28.07075,G_Lens,2056577.00,6.86,PUN,,0.92,2,0,0,2,2,0,0
57,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 08.1</a>",177.71976,-28.08009,G_Lens,731494.00,2.44,PUN,,0.945,1,0,0,1,1,0,0
58,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115045.82-280426.1</a>",177.69103,-28.07382,IrS,116810.00,0.389636,SUN,,0.974,1,0,18,3,1,0,0
59,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 191</a>",177.72117,-28.08963,G,111755.00,0.372774,SUN,,0.976,1,0,0,1,1,0,0
60,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[NSB2022]2013</a>",177.68780,-28.07609,G,2260435.00,7.54,PUN,,1.009,1,0,0,1,1,0,0
61,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c11.3  </a>",177.68418,-28.08817,VisS,26981.00,0.09,PUN,,1.016,1,0,0,1,1,0,0
62,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[NSB2022]2032</a>",177.72259,-28.08507,G,2368361.00,7.9,PUN,,1.028,1,0,0,1,1,0,0
63,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c11.1  </a>",177.68370,-28.08596,VisS,29979.00,0.1,PUN,,1.032,1,0,0,1,1,0,0
64,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c11.2  </a>",177.68360,-28.08629,VisS,26981.00,0.09,PUN,,1.038,1,0,0,1,1,0,0
65,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 128</a>",177.69934,-28.10296,G,116551.00,0.388773,SUN,,1.038,1,0,0,1,1,0,0
66,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 104</a>",177.69073,-28.07172,G,118835.00,0.39639,SUN,,1.082,1,0,0,1,1,0,0
67,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115045.99-280604.3</a>",177.69163,-28.10121,IrS,111715.00,0.372642,SUN,,1.099,1,0,12,3,2,0,0
68,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115045.06-280555.2</a>",177.68777,-28.09867,IrS,115986.00,0.386889,SUN,,1.116,1,0,12,2,1,0,0
69,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 03.3</a>",177.72429,-28.08629,G_Lens,278807.00,0.93,PUN,,1.116,1,0,0,1,1,0,0
70,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 12.1</a>",177.68210,-28.08855,G_Lens,1028288.00,3.43,PUN,,1.127,1,0,0,1,1,0,0
71,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c12.3  </a>",177.68168,-28.08708,VisS,1007303.00,3.36,PUN,,1.141,1,0,0,1,1,0,0
72,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 12.2</a>",177.68166,-28.08718,G_Lens,1040280.00,3.47,PUN,,1.143,1,0,0,1,1,0,0
73,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 07.2</a>",177.72031,-28.07322,G_Lens,1040280.00,3.47,PUN,,1.186,1,0,0,1,1,0,0
74,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PSZ1 G287.00+32.90</a>",177.72490,-28.09170,GClstr,116919.00,0.39,SUN,,1.198,3,0,1,2,2,0,0
75,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 190</a>",177.72093,-28.09840,G,113611.00,0.378965,SUN,,1.198,1,0,0,1,1,0,0
76,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 159</a>",177.71061,-28.06657,G,115994.00,0.386914,SUN,,1.229,1,0,0,1,1,0,0
77,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 19.2</a>",177.71993,-28.07156,G_Lens,2077562.00,6.93,PUN,,1.239,2,0,0,2,2,0,0
78,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c04.3  </a>",177.72695,-28.08457,VisS,290799.00,0.97,PUN,,1.26,1,0,0,1,1,0,0
79,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.41-280402.2</a>",177.71423,-28.06730,IrS,114382.00,0.381538,SUN,,1.264,1,0,12,2,1,0,0
80,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115053.60-280550.6</a>",177.72335,-28.09739,IrS,111194.00,0.370902,SUN,,1.267,1,0,12,2,1,0,0
81,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 02.3</a>",177.72018,-28.10090,G_Lens,500653.00,1.67,PUN,,1.268,1,0,0,1,1,0,0
82,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c15.2  </a>",177.70933,-28.06526,VisS,140902.00,0.47,PUN,,1.286,1,0,0,1,1,0,0
83,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 137</a>",177.70213,-28.06447,G,391754.00,1.306752,SUN,,1.293,1,0,0,1,1,0,0
84,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115046.75-280356.4</a>",177.69480,-28.06569,IrS,98910.00,0.329928,SUN,,1.297,1,0,12,2,1,0,0
85,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 198</a>",177.72771,-28.08626,G,117293.00,0.391246,SUN,,1.298,1,0,0,1,1,0,0
86,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115049.72-280626.5</a>",177.70720,-28.10736,IrS,111838.00,0.373051,SUN,,1.299,1,0,12,2,1,0,0
