No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
66,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134721.80-330331.1</a>",206.84088,-33.05864,G,13104.00,0.04371,UUN,,11.533,4,0,27,4,2,2,0
67,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134815.84-324510.1</a>",207.06604,-32.75281,G,11439.00,0.038156,UUN,,11.732,6,0,27,4,2,2,0
68,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134635.92-324949.2</a>",206.64992,-32.83058,G,11308.00,0.037719,UUN,15.4I,11.776,6,0,27,4,2,2,0
69,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134642.18-325830.1</a>",206.67571,-32.97558,G,10700.00,0.035691,UUN,14.1I,12.069,8,0,27,4,2,2,0
70,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134751.05-330348.9</a>",206.96271,-33.06356,G,13362.00,0.044571,UUN,,12.405,2,0,27,4,2,2,0
71,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134707.00-330329.5</a>",206.77925,-33.05817,G,11368.00,0.03792,UUN,,12.406,2,0,27,3,1,2,0
72,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134824.94-324706.7</a>",207.10392,-32.78519,G,11778.00,0.039287,UUN,,12.407,6,0,27,4,2,2,0
73,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134641.92-324449.7</a>",206.67480,-32.74719,G,10632.00,0.035465,UUN,,12.631,2,0,18,3,1,0,0
74,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134757.51-330334.6</a>",206.98954,-33.05958,G,11739.00,0.039157,UUN,,12.712,2,0,27,3,1,2,0
75,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SSGC 107</a>",206.92600,-32.66000,GGroup,10424.00,0.034771,UUN,,12.768,1,0,0,1,1,0,0
76,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134654.34-330251.2</a>",206.72637,-33.04731,G,11690.00,0.038994,SUN,16.6b,13.167,8,0,27,5,4,2,0
77,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134826.51-324558.3</a>",207.11083,-32.76608,G,11528.00,0.038453,UUN,16.5b,13.223,6,0,27,3,2,2,0
78,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NFP J134818.2-330115</a>",207.07575,-33.02097,G,13447.00,0.044854,UUN,,13.46,1,0,0,1,1,0,0
79,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134828.80-325824.2</a>",207.12015,-32.97333,G,12237.00,0.040818,UUN,,13.661,1,0,18,3,1,0,0
80,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134722.53-330547.3</a>",206.84375,-33.09647,G,11674.00,0.03894,UUN,14.99,13.758,13,0,27,7,7,2,0
81,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134648.07-330235.8</a>",206.70025,-33.04336,G,12601.00,0.042032,UUN,16.4b,13.796,17,0,27,7,7,2,0
82,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134729.04-323811.8</a>",206.87088,-32.63644,G,10043.00,0.0335,UUN,,13.965,5,0,29,5,2,2,0
83,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134804.48-330414.5</a>",207.01862,-33.07067,G,22858.00,0.076246,UUN,,13.988,2,0,27,3,1,2,0
84,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134719.61-330613.1</a>",206.83163,-33.10336,G,13205.00,0.044047,UUN,14.8I,14.257,6,0,27,4,2,2,0
85,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134644.81-324117.6</a>",206.68755,-32.68778,G,12341.00,0.041165,UUN,,14.547,2,0,32,5,1,0,0
86,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134801.47-323904.7</a>",207.00583,-32.65111,G,15350.00,0.051202,SUN,,14.561,3,0,17,3,1,0,0
87,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134842.36-325144.3</a>",207.17646,-32.86231,G,11547.00,0.038517,UUN,15.7R,14.996,4,0,27,4,4,2,0
