No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
134,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-066</a>",110.66504,-73.47003,G,896380.00,2.99,PSE,,3.657,1,0,0,1,1,0,0
135,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-060</a>",110.66979,-73.47325,G,1121224.00,3.74,PSE,,3.689,1,0,0,1,1,0,0
136,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-054</a>",110.66204,-73.47522,G,911369.00,3.04,PSE,,3.865,1,0,0,1,1,0,0
137,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-098</a>",110.64500,-73.46672,G,1672842.00,5.58,PSE,,3.869,1,0,0,1,1,0,0
138,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-026</a>",110.69175,-73.48558,G,1373050.00,4.58,PSE,,3.87,1,0,0,1,1,0,0
139,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-031</a>",110.66938,-73.48347,G,3582520.00,11.95,PSE,,4.063,1,0,0,1,1,0,0
140,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-033</a>",110.68300,-73.48769,G,1723807.00,5.75,PSE,,4.065,1,0,0,1,1,0,0
141,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-089</a>",110.63513,-73.46856,G,4715736.00,15.73,PSE,,4.069,1,0,0,1,1,0,0
142,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-056</a>",110.65429,-73.47819,G,1555923.00,5.19,PSE,,4.074,1,0,0,1,1,0,0
143,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-008</a>",110.71979,-73.49767,G,896380.00,2.99,PSE,,4.141,1,0,0,1,1,0,0
